List of songs in Glee season one,,,,,,
Title,Version covered,Performed by,Episode,Single,Album[nb 1],season
"""P.Y.T. (Pretty Young Thing)""",Michael Jackson,Artie Abrams with Mike Chang and New Directions,"12. ""Silly Love Songs""",Yes,Volume 5,2
"""When I Get You Alone""",Robin Thicke,Dalton Academy Warblers,"12. ""Silly Love Songs""",Yes,Presents the Warblers,2
"""My Funny Valentine""",Babes in Arms,Tina Cohen-Chang,"12. ""Silly Love Songs""",No,TBA,2
"""Firework""",Katy Perry,Rachel Berry with New Directions females,"12. ""Silly Love Songs""",Yes,Volume 5,2
"""Silly Love Songs""",Wings,Dalton Academy Warblers,"12. ""Silly Love Songs""",Yes,Presents the Warblers,2
"""Baby""",Justin Bieber feat. Ludacris,Sam Evans,"13. ""Comeback""",Yes,Volume 5,2
"""Somebody to Love""",Justin Bieber,"Sam Evans, Artie Abrams, Noah Puckerman and Mike Chang","13. ""Comeback""",Yes,Volume 5,2
"""Take Me or Leave Me""",Rent,Rachel Berry and Mercedes Jones,"13. ""Comeback""",Yes,Volume 5,2
"""This Little Light of Mine""",Traditional,"Will Schuester, Sue Sylvester and pediatric patients","13. ""Comeback""",No,TBA,2
"""I Know What Boys Like""",The Waitresses,Lauren Zizes with Brittany S. Pierce and Tina Cohen-Chang,"13. ""Comeback""",Yes,Dance Party,2
"""Sing""",My Chemical Romance,Rachel Berry and Finn Hudson with New Directions and Sue Sylvester,"13. ""Comeback""",Yes,Volume 5,2
"""My Headband""",Original composition,Rachel Berry,"14. ""Blame It on the Alcohol""",No,TBA,2
"""Don't You Want Me""",The Human League,Rachel Berry and Blaine Anderson,"14. ""Blame It on the Alcohol""",Yes,Volume 5,2
"""Blame It""",Jamie Foxx feat. T-Pain,"Artie Abrams, Noah Puckerman, Mercedes Jones and Santana Lopez with New Directions","14. ""Blame It on the Alcohol""",Yes,Dance Party,2
"""One Bourbon, One Scotch, One Beer""",George Thorogood,Shannon Beiste and Will Schuester,"14. ""Blame It on the Alcohol""",Yes,The Complete Season Two,2
"""Tik Tok""",Ke$ha,Brittany S. Pierce with New Directions,"14. ""Blame It on the Alcohol""",Yes,Dance Party,2
"""Do You Wanna Touch Me (Oh Yeah)""[nb 3]",Joan Jett,Holly Holliday with New Directions,"15. ""Sexy""",Yes,Volume 5,2
"""Animal""",Neon Trees,"Blaine Anderson, Kurt Hummel and the Dalton Academy Warblers","15. ""Sexy""",Yes,Presents the Warblers,2
"""Kiss""",Prince and The Revolution,Will Schuester and Holly Holliday,"15. ""Sexy""",Yes,Volume 5,2
